Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
GTEX-1A32A-0001_C4104.1_1	GTEX-1A32A-0001_C4104.1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2620389.0	0.0	76.0	48.0	96.42740794783148	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-1A32A-0001_C4104.1_2	GTEX-1A32A-0001_C4104.1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2620389.0	0.0	76.0	48.0	96.279768418328	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-1A32A-0001_C4104.2_1	GTEX-1A32A-0001_C4104.2_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2970066.0	0.0	76.0	48.0	95.99347080863639	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-1A32A-0001_C4104.2_2	GTEX-1A32A-0001_C4104.2_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2970066.0	0.0	76.0	48.0	95.89900183041793	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-1A32A-0001_C4104.3_1	GTEX-1A32A-0001_C4104.3_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2968617.0	0.0	76.0	48.0	96.13599436930377	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-1A32A-0001_C4104.3_2	GTEX-1A32A-0001_C4104.3_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2968617.0	0.0	76.0	48.0	95.99058013501181	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-1A32A-0001_C4104.4_1	GTEX-1A32A-0001_C4104.4_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3003695.0	0.0	76.0	48.0	96.10928950903048	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-1A32A-0001_C4104.4_2	GTEX-1A32A-0001_C4104.4_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3003695.0	0.0	76.0	48.0	96.10269838118872	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-1A32A-0001_C4104.5_1	GTEX-1A32A-0001_C4104.5_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2919945.0	0.0	76.0	48.0	96.08791707463922	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-1A32A-0001_C4104.5_2	GTEX-1A32A-0001_C4104.5_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2919945.0	0.0	76.0	48.0	96.12565415633497	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-1A32A-0001_C4104.6_1	GTEX-1A32A-0001_C4104.6_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2917712.0	0.0	76.0	48.0	96.12457756039315	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-1A32A-0001_C4104.6_2	GTEX-1A32A-0001_C4104.6_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2917712.0	0.0	76.0	48.0	95.98343884006059	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
