Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
GTEX-15ER7-0002_C4N20.7_trimmed_read2	GTEX-15ER7-0002_C4N20.7_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2396395.0	0.0	10-76	49.0	96.39240398462462	73.47068826299504	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-15ER7-0002_C4N20.8_trimmed_read1	GTEX-15ER7-0002_C4N20.8_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2364613.0	0.0	10-76	49.0	96.39100471087144	74.09278812220012	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-15ER7-0002_C4N20.8_trimmed_read2	GTEX-15ER7-0002_C4N20.8_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2364613.0	0.0	10-76	49.0	96.45931928659579	73.47272048322495	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-15ER7-0002_C4RUH.1_trimmed_read1	GTEX-15ER7-0002_C4RUH.1_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2283099.0	0.0	10-76	49.0	96.3453893581987	74.04569315653855	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-15ER7-0002_C4RUH.1_trimmed_read2	GTEX-15ER7-0002_C4RUH.1_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2283099.0	0.0	10-76	49.0	96.60499772624391	73.14024665597069	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-15ER7-0002_C4RUH.2_trimmed_read1	GTEX-15ER7-0002_C4RUH.2_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2266613.0	0.0	10-76	49.0	96.45464676740508	73.98262517686081	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-15ER7-0002_C4RUH.2_trimmed_read2	GTEX-15ER7-0002_C4RUH.2_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2266613.0	0.0	10-76	49.0	96.64625243418837	72.94926924005112	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-15ER7-0002_C4RUH.3_trimmed_read1	GTEX-15ER7-0002_C4RUH.3_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2229093.0	0.0	10-76	49.0	96.56381401245937	73.98391543107444	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-15ER7-0002_C4RUH.3_trimmed_read2	GTEX-15ER7-0002_C4RUH.3_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2229093.0	0.0	10-76	49.0	96.85618150171362	72.86611908969253	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-15ER7-0002_C4RUH.4_trimmed_read1	GTEX-15ER7-0002_C4RUH.4_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2198129.0	0.0	10-76	49.0	96.47945262492715	74.16730228298704	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-15ER7-0002_C4RUH.4_trimmed_read2	GTEX-15ER7-0002_C4RUH.4_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2198129.0	0.0	10-76	49.0	96.7409905193003	73.18956439772188	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-15ER7-0002_C4RUH.5_trimmed_read1	GTEX-15ER7-0002_C4RUH.5_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2206723.0	0.0	10-76	49.0	96.55879757740558	74.11045609258616	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-15ER7-0002_C4RUH.5_trimmed_read2	GTEX-15ER7-0002_C4RUH.5_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2206723.0	0.0	10-76	49.0	96.84027293427823	72.98255195599991	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-15ER7-0002_C4RUH.6_trimmed_read1	GTEX-15ER7-0002_C4RUH.6_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2222397.0	0.0	10-76	49.0	96.43040125163151	74.06304184175914	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-15ER7-0002_C4RUH.6_trimmed_read2	GTEX-15ER7-0002_C4RUH.6_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2222397.0	0.0	10-76	49.0	96.75628621149748	73.06217475995513	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-15ER7-0002_C4RUH.7_trimmed_read1	GTEX-15ER7-0002_C4RUH.7_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2234198.0	0.0	10-76	49.0	96.47461637047172	74.02120313418953	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-15ER7-0002_C4RUH.7_trimmed_read2	GTEX-15ER7-0002_C4RUH.7_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2234198.0	0.0	10-76	49.0	96.73406863879441	73.10296849249708	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-15ER7-0002_C4RUH.8_trimmed_read1	GTEX-15ER7-0002_C4RUH.8_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2159951.0	0.0	10-76	49.0	96.67874631470387	73.88232788614187	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-15ER7-0002_C4RUH.8_trimmed_read2	GTEX-15ER7-0002_C4RUH.8_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2159951.0	0.0	10-76	49.0	96.8780774161109	73.01597860321831	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-1A32A-0001_C40JE.1_trimmed_read1	GTEX-1A32A-0001_C40JE.1_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2907374.0	0.0	10-76	48.0	96.55469379631307	74.97676184763294	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-1A32A-0001_C40JE.1_trimmed_read2	GTEX-1A32A-0001_C40JE.1_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2907374.0	0.0	10-76	48.0	96.58616559491834	74.57886739029792	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-1A32A-0001_C40JE.2_trimmed_read1	GTEX-1A32A-0001_C40JE.2_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2744680.0	0.0	10-76	48.0	96.37241912667726	75.1854037629159	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
