Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
GTEX-11GSP-3026_C37E7.7_2	GTEX-11GSP-3026_C37E7.7_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2244907.0	0.0	76.0	49.0	78.67171558910145	76.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
GTEX-11GSP-3026_C37E7.8_1	GTEX-11GSP-3026_C37E7.8_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2200955.0	0.0	76.0	49.0	78.94645111694805	76.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
GTEX-11GSP-3026_C37E7.8_2	GTEX-11GSP-3026_C37E7.8_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2200955.0	0.0	76.0	49.0	78.79135258790794	76.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
GTEX-11GSP-3026_H7G88.1_1	GTEX-11GSP-3026_H7G88.1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2014821.0	0.0	76.0	49.0	80.47978985730668	76.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
GTEX-11GSP-3026_H7G88.1_2	GTEX-11GSP-3026_H7G88.1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2014821.0	0.0	76.0	49.0	81.37055455900463	76.0	pass	fail	pass	fail	pass	pass	pass	pass	pass	pass
GTEX-11GSP-3026_H7G88.2_1	GTEX-11GSP-3026_H7G88.2_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2000348.0	0.0	76.0	49.0	80.72235587831933	76.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
GTEX-11GSP-3026_H7G88.2_2	GTEX-11GSP-3026_H7G88.2_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2000348.0	0.0	76.0	49.0	81.572052451028	76.0	pass	fail	pass	fail	pass	pass	pass	pass	pass	pass
GTEX-11GSP-3026_H7GKE.1_1	GTEX-11GSP-3026_H7GKE.1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2081438.0	0.0	76.0	49.0	79.50034445808976	76.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
GTEX-11GSP-3026_H7GKE.1_2	GTEX-11GSP-3026_H7GKE.1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2081438.0	0.0	76.0	49.0	81.07865329426141	76.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
GTEX-11GSP-3026_H7GKE.2_1	GTEX-11GSP-3026_H7GKE.2_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1991674.0	0.0	76.0	49.0	79.41645218411372	76.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
GTEX-11GSP-3026_H7GKE.2_2	GTEX-11GSP-3026_H7GKE.2_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1991674.0	0.0	76.0	49.0	80.62914900834446	76.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
GTEX-12WSD-0826_H77F4.1_1	GTEX-12WSD-0826_H77F4.1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1674539.0	0.0	76.0	49.0	88.48403323502117	76.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
